Date,Open,High,Low,Close,Volume
09/10/2020,"213.40","214.74","204.11","205.37","35,461,512"
09/09/2020,"207.60","214.84","206.70","211.29","45,678,992"
09/08/2020,"206.50","210.03","202.20","202.66","52,924,328"
09/04/2020,"215.10","218.36","205.19","214.25","59,664,070"
09/03/2020,"229.27","229.31","214.96","217.30","58,400,289"
09/02/2020,"227.97","232.86","227.35","231.65","34,080,840"
09/01/2020,"225.51","227.45","224.43","227.27","25,791,240"
08/31/2020,"227.00","228.70","224.31","225.53","28,774,160"
08/28/2020,"228.18","230.64","226.58","228.91","26,292,900"
08/27/2020,"222.89","231.15","219.40","226.58","57,602,199"
08/26/2020,"217.88","222.09","217.36","221.15","39,600,832"
08/25/2020,"213.10","216.61","213.10","216.47","23,043,699"
08/24/2020,"214.79","215.52","212.43","213.69","25,460,150"
08/21/2020,"213.86","216.25","212.85","213.02","36,249,320"
08/20/2020,"209.54","215.00","208.91","214.58","26,981,480"
08/19/2020,"211.49","212.10","209.25","209.70","27,627,561"
08/18/2020,"210.53","212.36","209.21","211.49","21,336,170"
08/17/2020,"209.60","211.19","208.92","210.28","20,184,760"
08/14/2020,"208.76","209.59","207.51","208.90","17,958,939"
08/13/2020,"209.44","211.35","208.15","208.70","22,588,869"
