Date,Open,High,Low,Close,Adj Close,Volume
12/18/2019,75.419998,77.169998,75.190002,76.260002,76.260002,1033200
12/19/2019,76.040001,76.620003,75.510002,76.150002,76.150002,1352200
12/20/2019,76.529999,77.760002,76.529999,77.650002,77.650002,1341900
12/23/2019,77.870003,78.059998,76.989998,77.110001,77.110001,1336900
12/24/2019,77,77.190002,76.089996,76.739998,76.739998,270200
12/26/2019,77.029999,77.862,77.029999,77.620003,77.620003,1280000
12/27/2019,77.949997,78.550003,77.050003,77.529999,77.529999,572900
12/30/2019,77.529999,77.639999,75.199997,76.300003,76.300003,1365800
12/31/2019,75.790001,76.970001,75.739998,76.629997,76.629997,940900
1/2/2020,77.519997,80.139999,77.370003,79.989998,79.989998,2437600
1/3/2020,78.589996,79.010002,77.669998,78.349998,78.349998,1157300
1/6/2020,77.639999,80.940002,77.639999,80.93,80.93,1400000
1/7/2020,80.93,81.25,78.529999,78.68,78.68,2073100
1/8/2020,78.75,80.440002,78.75,79.800003,79.800003,1213700
1/9/2020,80.790001,81.809998,80.665001,81.160004,81.160004,1170300
1/10/2020,82.339996,84.440002,81.449997,81.800003,81.800003,2087700
1/13/2020,82.32,84.599998,82.32,83.790001,83.790001,1415200
1/14/2020,83.790001,83.879997,81.910004,83.230003,83.230003,1583900
1/15/2020,83.379997,86.055,83.379997,83.989998,83.989998,1649000
1/16/2020,84.449997,85.330002,84.150002,84.699997,84.699997,1638600
1/17/2020,86,86.18,83.940002,83.970001,83.970001,1367900
1/21/2020,84.330002,86.089996,84.330002,85.57,85.57,1655800
1/22/2020,86.25,87.010002,85.18,85.18,85.18,1568100
1/23/2020,85.230003,86.410004,84.620003,85.970001,85.970001,867800
1/24/2020,87.010002,88.504997,85.490997,86.190002,86.190002,1564300
1/27/2020,83.239998,85.440002,83.129997,84.900002,84.900002,857500
1/28/2020,85.300003,86.214996,84.860001,85.870003,85.870003,1249100
1/29/2020,86.629997,86.910004,85.150002,86,86,1010300
1/30/2020,85.660004,87.269997,85.660004,87,87,900600
1/31/2020,86.709999,87.324997,84.879997,86.400002,86.400002,1339900
2/3/2020,86.779999,88.290001,86.434998,87.879997,87.879997,1647500
2/4/2020,88.940002,90.099998,88.260002,89.519997,89.519997,1440300
2/5/2020,90.379997,90.529999,86.760002,87.220001,87.220001,1621800
2/6/2020,87.220001,88.059998,85.599998,86.809998,86.809998,2372000
2/7/2020,85.470001,89.25,85.010002,86.949997,86.949997,4354200
2/10/2020,86.93,89.419998,86.639999,89.199997,89.199997,2704100
2/11/2020,89.150002,89.870003,88.279999,88.540001,88.540001,1657100
2/12/2020,88.730003,88.959999,86.710999,88.879997,88.879997,1063900
2/13/2020,88.330002,90.839996,87.889999,89.529999,89.529999,1762000
2/14/2020,89.980003,91.510002,89.690002,90.480003,90.480003,1114200
2/18/2020,90,90.695,89.370003,90.239998,90.239998,1226600
2/19/2020,90.849998,91.440002,89.989998,90.019997,90.019997,1042200
2/20/2020,89.75,90.32,86.839996,88.300003,88.300003,2120000
2/21/2020,87.839996,87.949997,85.230003,86.25,86.25,1967100
2/24/2020,81.959999,84.839996,81.160004,84.230003,84.230003,1872200
2/25/2020,85.059998,85.949997,81.080002,81.309998,81.309998,2704500
2/26/2020,82.059998,85.440002,81.970001,83.040001,83.040001,2161300
2/27/2020,80.360001,82.889999,79.209999,79.910004,79.910004,1516900
2/28/2020,77.32,80.269997,77.000999,79.309998,79.309998,2443100
3/2/2020,79.879997,80.980003,76.230003,78.470001,78.470001,2828500
3/3/2020,77.849998,78.489998,68.599998,71.059998,71.059998,7846900
3/4/2020,71.970001,73.68,70.199997,73.230003,73.230003,3424800
3/5/2020,71.870003,74.559998,71.559998,73,73,2936000
3/6/2020,71.809998,72.790001,69.290001,71.550003,71.550003,4600600
3/9/2020,66.889999,70.269997,66,68.019997,68.019997,3123400
3/10/2020,70.480003,72.269997,68.260002,72.209999,72.209999,2436700
3/11/2020,70.690002,71.889999,64.5,65.699997,65.699997,3244500
3/12/2020,61.259998,65.419998,59.740002,60.169998,60.169998,3258900
3/13/2020,63.169998,64.720001,57.939999,64.43,64.43,2496200
3/16/2020,57,59.32,54.07,54.740002,54.740002,3503200
3/17/2020,55.450001,61.049999,50.23,60.860001,60.860001,2891900
3/18/2020,55.610001,64.43,55.599998,58.84,58.84,2791300
3/19/2020,58.639999,63.84,56.810001,62.189999,62.189999,2033100
3/20/2020,62.220001,63.529999,56.5,56.880001,56.880001,3550900
3/23/2020,56.560001,58.759998,53.75,55.740002,55.740002,2178500
3/24/2020,58.75,64.5,58.290001,64.489998,64.489998,3093700
3/25/2020,65.050003,68.220001,64,64.580002,64.580002,2488500
3/26/2020,65.120003,67.964996,63.900002,67.010002,67.010002,2239100
3/27/2020,65,65.489998,62.669998,64.849998,64.849998,1515000
3/30/2020,64.589996,66.129997,63.049999,65.360001,65.360001,1938100
3/31/2020,64.959999,67.239998,63.369999,64.010002,64.010002,2281000
4/1/2020,61.740002,65.209999,60.52,62.490002,62.490002,1922200
4/2/2020,61.759998,63.509998,58.191002,58.939999,58.939999,1959900
4/3/2020,58.700001,60.27,56.599998,57.84,57.84,1277900
4/6/2020,60.299999,61.720001,59.709999,61.080002,61.080002,1910600
4/7/2020,63.009998,65.690002,61.502998,63.380001,63.380001,2232900
4/8/2020,64.349998,67.220001,63.494999,66.959999,66.959999,2272300
4/9/2020,68.18,71.279999,67.489998,68.709999,68.709999,3062200
4/13/2020,68.370003,68.598999,66,67.980003,67.980003,1438400
4/14/2020,70.07,70.919998,69.089996,69.720001,69.720001,1150500
4/15/2020,67.559998,69.385002,67.32,68.849998,68.849998,1483900
4/16/2020,69.360001,70.339996,68.330002,68.889999,68.889999,2061900
